,height_ver2,join_date_ver2,exp_date_ver2,sent_score,sent_max,sent_min,best,goal,good,great,love,foot_both,foot_left,foot_right,position_Defender,position_Forward,position_Goalkeeper,position_Midfielder,outfitter_Nike,outfitter_adidas,outfitter_other,nationality_ver2_Africa,nationality_ver2_Asia,nationality_ver2_Europe,nationality_ver2_North America,nationality_ver2_Oceania,nationality_ver2_South America,age,startelfquote,minutenquote,Player_agent_ver2,appearance_ver2,minutes_ver2,num_tweets_ver2,following_ver2,followers_ver2,likes_ver2,date_joined_twitter_ver3,goals_ver2,Assists_ver2,min_per_goal_ver2,market_value_ver2
53,193.0,3.4164383561643836,2.4986301369863013,24.9308,0.9217,-0.5759,0.0,0.1251327587002006,0.16823296020961176,0.4285002401400908,0.12818206504900342,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,30,58,58,1,17.0,1.53,2676.0,298.0,34912.0,978.0,8.273972602739725,0,0,0,5.7
54,191.0,9.41095890410959,3.4986301369863013,5.544100000000001,0.8779,-0.4939,0.08998562562275968,0.0,0.08251250442432018,0.09007058150536829,0.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,31,0,0,1,1.0,72.0,733.0,188.0,70036.0,36.0,8.923287671232877,0,0,0,5.7
55,178.0,0.3972602739726027,4.501369863013698,43.3442,0.8779,-0.802,0.18372487507493468,0.026851449870528843,0.16846690193643513,0.0,0.1925404690827028,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,22,17,14,1,12.0,806.0,436.0,619.0,337483.0,1494.0,7.901369863013699,0,2,0,28.5
56,182.0,3.5013698630136987,3.4986301369863013,4.197100000000001,0.8689,-0.6486,0.0,0.0,0.14477506743148866,0.0,0.1654631210898411,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,24,0,2,1,6.0,230.0,52.0,5.0,6469.0,139.0,3.947945205479452,0,2,0,4.56
57,189.0,0.5013698630136987,3.4986301369863013,23.814799999999998,0.9359999999999999,-0.7579,0.2286157054161285,0.2338858146326195,0.2096296411128832,0.15255436177043913,0.10648234551204436,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,24,75,70,1,25.0,1.842,769.0,53.0,54381.0,2499.0,6.041095890410959,6,6,307,11.4
58,188.0,-0.00821917808219178,0.4986301369863014,6.8101,0.8718,-0.3818,0.1282769442792514,0.0,0.11762380779295185,0.0,0.0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,28,50,32,1,1.0,58.0,229.0,416.0,141290.0,107.0,9.586301369863014,0,0,0,1.71
59,183.0,2.5013698630136987,2.4986301369863013,47.32820000000001,0.9603,-0.8176,0.1283211615719464,0.06563962732619273,0.1176643529303988,0.10703525852268846,0.29136974168476626,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,26,50,50,1,19.0,1.342,171.0,103.0,321347.0,234.0,3.967123287671233,0,2,0,22.8
60,185.0,2.473972602739726,1.4986301369863013,2.1707,0.743,-0.5719,0.0,0.20015701860365104,0.0,0.0,0.4100691177142034,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,30,92,89,1,24.0,2.073,1133.0,491.0,54905.0,170.0,8.728767123287671,0,0,0,17.1
61,185.0,3.334246575342466,0.4986301369863014,3.8916,0.875,-0.5719,0.0,0.16227674419818086,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,27,71,69,1,22.0,1.691,2107.0,299.0,63534.0,1193.0,6.63013698630137,3,1,564,12.54
62,189.0,7.33972602739726,0.4986301369863014,14.962600000000002,0.9738,-0.3818,0.07363423551691478,0.0,0.4726334455393181,0.5159262777880824,0.15433479262065594,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,31,25,26,1,11.0,768.0,983.0,177.0,573979.0,809.0,5.142465753424657,0,0,0,5.7
63,188.0,9.002739726027396,4.501369863013698,64.9375,0.9184,-0.872,0.0887042245138829,0.14260566189275775,0.15105539622269196,0.1268399580274962,0.13280068900036715,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,26,83,82,1,25.0,2.23,2503.0,235.0,2868990.0,507.0,8.95068493150685,17,2,131,171.0
64,173.0,3.5013698630136987,3.4986301369863013,31.7807,0.8977,-0.5983,0.07766631959073232,0.4767402237899171,0.09495505523984646,0.3368717939358906,0.054261966794380466,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,25,92,87,1,26.0,2.076,18815.0,767.0,101973.0,1.0,8.947945205479453,4,2,519,22.8
65,171.0,2.3643835616438356,1.4986301369863013,-0.33630000000000004,0.4404,-0.3612,0.0,0.29897066845313985,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,27,0,0,1,219.0,13.876,14808.0,278.0,31581.0,531.0,9.104109589041096,53,28,262,9.12
66,188.0,3.4438356164383563,3.4986301369863013,46.111200000000004,0.9458,-0.9108,0.18214543259360955,0.015528691407495415,0.2644461624342884,0.21270362985012595,0.0477213102179842,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,24,4,4,1,11.0,869.0,219.0,290.0,289975.0,853.0,3.4657534246575343,1,0,869,13.68
67,180.0,4.3342465753424655,1.4986301369863013,51.4448,0.9336,-0.8916,0.01522290916729139,0.0934429899780403,0.279173557181884,0.09142368715528773,0.14358009298470778,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,29,22,29,1,12.0,645.0,2825.0,325.0,92547.0,567.0,8.98904109589041,1,1,645,13.68
68,193.0,1.4904109589041097,0.4986301369863014,70.10140000000001,0.9551,-0.8737,0.2245092767610677,0.17226354263018867,0.2058642429148497,0.22472123710061145,0.07842727056486598,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,36,100,100,1,24.0,2.16,3417.0,272.0,224067.0,3194.0,8.32054794520548,0,0,0,1.71
69,178.0,2.3945205479452056,2.4986301369863013,34.8262,0.8934,-0.8225,0.09979810718004488,0.204197358655759,0.13726511934395266,0.1248654088449238,0.10458667810863673,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,28,29,33,1,22.0,967.0,2589.0,655.0,71550.0,9757.0,8.583561643835617,2,1,484,13.68
70,178.0,1.4136986301369863,2.4986301369863013,4.614199999999999,0.8658,-0.3382,0.0,0.0,0.5180672186998778,0.18850724898295212,0.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,27,8,9,1,9.0,344.0,2864.0,174.0,229974.0,40.0,8.663013698630136,1,0,344,7.98
71,181.0,7.504109589041096,2.4986301369863013,17.74335058236273,0.7407242096505824,-0.49375299500831943,0.10569944607987113,0.118319857496747,0.15107405248619235,0.09620516887575378,0.08555763687568908,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,28,100,100,1,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.71
72,184.0,2.5013698630136987,2.4986301369863013,71.9931,0.9508,-0.802,0.06825886641339013,0.1862197005574416,0.2503604315891716,0.3643909864167629,0.1430682062287678,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,27,100,100,1,24.0,2.16,3859.0,341.0,94942.0,13797.0,7.726027397260274,0,0,0,11.4
73,191.0,2.361643835616438,3.4986301369863013,14.8797,0.8718,-0.743,0.0515059661492517,0.31615977115825905,0.18891400622519475,0.10310918638288713,0.10795471085654522,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,28,92,85,1,25.0,1.995,4212.0,277.0,76496.0,115.0,8.608219178082193,10,1,200,20.52
74,182.0,5.504109589041096,2.4986301369863013,1.172,0.7494,-0.6249,0.0,0.13940791943611844,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,24,39,34,1,9.0,651.0,2665.0,291.0,118665.0,2482.0,8.904109589041095,0,0,0,3.99
75,185.0,3.3534246575342466,0.4986301369863014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,30,29,28,1,10.0,788.0,86.0,44.0,120192.0,23.0,6.9150684931506845,1,1,788,5.7
76,188.0,4.912328767123288,4.501369863013698,68.97,0.9538,-0.802,0.10662524024989584,0.13635399157536576,0.1466553499013266,0.13340738209565595,0.2234827893108924,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,23,67,66,1,26.0,2.06,3656.0,289.0,927681.0,1320.0,8.498630136986302,8,3,258,102.6
77,176.0,2.334246575342466,2.4986301369863013,49.0347,0.9337,-0.8225,0.12925906007972754,0.15628218726854748,0.2909234312887545,0.03528575296628586,0.04925863404237007,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,27,79,75,1,24.0,2.079,1454.0,148.0,278597.0,137.0,5.438356164383562,1,7,2.079,22.8
